,degree,video_id,duration,views,age,title,img,topic,subject
0,1,['sXAknaqkZSs']," 7 minutes, 1 second",45K views,3 years ago,Markov Chain Stationary Distribution,https://i.ytimg.com/vi/sXAknaqkZSs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyXY8JvbG-yZ5cLS_j-0RU3SyR_g,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['YIHSJR2iJrw']," 6 minutes, 43 seconds",8.3K views,2 years ago,[CS 70] Markov Chains – Finding Stationary Distributions,https://i.ytimg.com/vi/YIHSJR2iJrw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo8juHoK7rmbIMKXnmojuHdN-sTA,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['iZX8WEGZTVw'], 16 minutes,5.6K views,4 years ago,4.8.2 Stationary Distributions: Video,https://i.ytimg.com/vi/iZX8WEGZTVw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCdska3NFrn5zedetLSnAht5KFKzA,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['4sXiCxZDrTU'], 17 minutes,2.2K views,2 months ago,Markov Chain Stationary Distribution : Data Science Concepts,https://i.ytimg.com/vi/4sXiCxZDrTU/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAsIK7aWISS5dJmTlPX-mAbUutlVA,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['i3AkTO9HLXo']," 9 minutes, 24 seconds",82K views,5 months ago,Markov Chains Clearly Explained! Part - 1,https://i.ytimg.com/vi/i3AkTO9HLXo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzZFdV3drtxG0846UwTH2QuT_NxQ,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['pyRJENi6O1Q']," 10 minutes, 58 seconds",39K views,7 years ago,Finding a Stationary Distribution of a Markov Chain,https://i.ytimg.com/vi/pyRJENi6O1Q/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClRYrv1U0w4r-J4an--kIpbd20Cw,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['r4ALiJuxZqY'], 58 minutes,72 views,4 months ago,2020 ECE641 - Lecture 35: Markov Chains with Stationary Distributions,https://i.ytimg.com/vi/r4ALiJuxZqY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRXjdNNCbwrfl57_xr0Eb645Vz2w,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['tByUQbJdt14']," 14 minutes, 53 seconds",50K views,9 years ago,"(ML 18.3) Stationary distributions, Irreducibility, and Aperiodicity",https://i.ytimg.com/vi/tByUQbJdt14/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIPCoTnOJjVeAOiXwe5TZrSATnzg,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['SLPyKhodM5E']," 9 minutes, 13 seconds",937 views,3 years ago,Two Methods for Identifying the Stationary Distribution of a Markov Chain,https://i.ytimg.com/vi/SLPyKhodM5E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUpjMyNJGrWc5dTNWSzh-bxeZrCg,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['j93286JaPY8']," 7 minutes, 7 seconds",18K views,4 years ago,Find the stationary distribution of the markov chains (one is doubly stochastic),https://i.ytimg.com/vi/j93286JaPY8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_S-Tso1zdzRGOR4w7-raH6mfgYg,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['zVCB49HYIxM'], 17 minutes,4.1K views,9 months ago,Lecture #5: Stationary - Steady-State Probability for the Markov Chain with Examples,https://i.ytimg.com/vi/zVCB49HYIxM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTe1DIIf-ZFvj1NnTYzNMvhlwMXg,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,1,['JZnzQ8YzVZg'], 16 minutes,10K views,5 years ago,limiting stationary distribution,https://i.ytimg.com/vi/JZnzQ8YzVZg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGRfaxAttjWR6d9eve9IbsKw7wbQ,Markov Chains: Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,10,['stgYW6M5o4k']," 12 minutes, 35 seconds",200K views,4 years ago,What is a Random Walk? | Infinite Series,https://i.ytimg.com/vi/stgYW6M5o4k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOLCHX-KobWlsFyVKa7anPtA3XIA,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,9,['kAuZf1MLQHc'], 23 minutes,4.1K views,5 years ago,hitting times,https://i.ytimg.com/vi/kAuZf1MLQHc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqsEGQkUsiCI53d7OULhBxB7IVvg,Hitting Times,15.780 Stochastic Models in Business Analytics
0,6,['svi1j799i0A']," 1 hour, 1 minute",4.1K views,5 years ago,Markov Chain Mixing Times and Applications I,https://i.ytimg.com/vi/svi1j799i0A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3bUs9F_uA1uAkl59jR_HhZrcPcQ,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
0,9,['73YyVYaK85k'], 15 minutes,597 views,1 year ago,[AM] Markov Chains 3 - Hitting times and probabilities,https://i.ytimg.com/vi/73YyVYaK85k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMC7EGAo3UONo6jb6L3DNVyk8ePQ,Hitting Times,15.780 Stochastic Models in Business Analytics
0,10,['BBo2kv9RCUc']," 14 minutes, 48 seconds",400 views,5 years ago,Random walks and extreme events on networks by M. S. Santhanam,https://i.ytimg.com/vi/BBo2kv9RCUc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcx7mEs9jLmuvDcWp0to5vvL1Vsw,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,6,['PQG_gYFePD4'], 39 minutes,4.3M views,2 years ago,Master ALL TENSES in 30 Minutes: Verb Tenses Chart with Useful Rules &amp; Examples,https://i.ytimg.com/vi/PQG_gYFePD4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmdMJM3Eo3yehjWxbjRY8ErhL0zw,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
0,11,['i3AkTO9HLXo']," 9 minutes, 24 seconds",82K views,5 months ago,Markov Chains Clearly Explained! Part - 1,https://i.ytimg.com/vi/i3AkTO9HLXo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzZFdV3drtxG0846UwTH2QuT_NxQ,Countable State Space Chain 1,15.780 Stochastic Models in Business Analytics
0,8,['BTO0cHOKQlA'], 23 minutes,939 views,3 days ago,Random Walk and Electrical Networks ( Part 2 ),https://i.ytimg.com/vi/BTO0cHOKQlA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1_4cWY8z3SQc83viA7-Fe4f8-fw,Random Walk on Networks 2,15.780 Stochastic Models in Business Analytics
0,4,['v70-kLB3BLM']," 7 minutes, 57 seconds",188K views,7 years ago,The qualitative difference between stationary and non-stationary AR(1),https://i.ytimg.com/vi/v70-kLB3BLM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwnW95FIHr1LjvYwi4l-r5VnyW1g,Stationary Times,15.780 Stochastic Models in Business Analytics
0,9,['fa5Bdv_94ZE']," 9 minutes, 27 seconds",34K views,7 years ago,Mean First Passage and Recurrence Times,https://i.ytimg.com/vi/fa5Bdv_94ZE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKazVZ5XLvLuTJG_rV-QPDNA6hJQ,Hitting Times,15.780 Stochastic Models in Business Analytics
0,10,['reTP7XAJztU']," 1 hour, 11 minutes",12K views,5 years ago,Network Analysis. Lecture 11. Diffusion and random walks on graphs,https://i.ytimg.com/vi/reTP7XAJztU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBroyBzP-YqXe6uQqqwIdJPej9oqw,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,3,['rHdX3ANxofs']," 11 minutes, 25 seconds",7.1K views,6 months ago,Intro to Markov Chains &amp; Transition Diagrams,https://i.ytimg.com/vi/rHdX3ANxofs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDx28pVBSOJ_gTUnlTwsy33qGsuzg,Introduction to Markov Chain Mixing,15.780 Stochastic Models in Business Analytics
0,11,['s98jdWi2kEs']," 1 hour, 23 minutes",4.2K views,8 years ago,17. Countable-state Markov Chains,https://i.ytimg.com/vi/s98jdWi2kEs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaC6ZKqJWH2qp2V7gWDxwtJ1LQVA,Countable State Space Chain 1,15.780 Stochastic Models in Business Analytics
0,8,['stgYW6M5o4k']," 12 minutes, 35 seconds",200K views,4 years ago,What is a Random Walk? | Infinite Series,https://i.ytimg.com/vi/stgYW6M5o4k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOLCHX-KobWlsFyVKa7anPtA3XIA,Random Walk on Networks 2,15.780 Stochastic Models in Business Analytics
0,4,['rHYk1pGBAKY'], 38 minutes,7.1K views,1 year ago,Stationary Time Series (FRM Part 1 2021 – Book 2 – Chapter 10),https://i.ytimg.com/vi/rHYk1pGBAKY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBydMYUM5yqOY7Op1ojDUlTdOGm0A,Stationary Times,15.780 Stochastic Models in Business Analytics
0,6,['cOqB8444HDI'], 25 minutes,39 views,42 minutes ago,"Lunchtime Service: ""The Plot: The Willing Accomplice"" (Thursday 25 March 2021)",https://i.ytimg.com/vi/cOqB8444HDI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOGBHY4hHFc3QzqHOsfZn0ZJ972w,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
0,10,['ya1braz5n88']," 5 minutes, 52 seconds",46K views,7 years ago,A Random Walker,https://i.ytimg.com/vi/ya1braz5n88/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7ftdMsNBr80V8YEuIcAeBwS6ffA,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,0,['tYaW-1kzTZI'], 29 minutes,164K views,8 years ago,Finite Math: Introduction to Markov Chains,https://i.ytimg.com/vi/tYaW-1kzTZI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCofWck2MCSstvBp4CnoEHR0aPuJg,Introduction to Finite Markov Chains,15.780 Stochastic Models in Business Analytics
0,7,['stgYW6M5o4k']," 12 minutes, 35 seconds",200K views,4 years ago,What is a Random Walk? | Infinite Series,https://i.ytimg.com/vi/stgYW6M5o4k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOLCHX-KobWlsFyVKa7anPtA3XIA,Random Walk on Networks 1,15.780 Stochastic Models in Business Analytics
0,9,['AEB6ibtdPZc']," 3 minutes, 19 seconds",106M views,3 years ago,Paramore: Hard Times [OFFICIAL VIDEO],https://i.ytimg.com/vi/AEB6ibtdPZc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAm4qXCUSw1ggs-qVibpJ5nPyPsMg,Hitting Times,15.780 Stochastic Models in Business Analytics
0,4,['ZIWyGjrAlks']," 4 minutes, 8 seconds",95K views,7 years ago,Stationary series summary,https://i.ytimg.com/vi/ZIWyGjrAlks/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQu-8qwIaO9TylD689naK6_JzETA,Stationary Times,15.780 Stochastic Models in Business Analytics
0,8,['YkRVAyZgDm4'], 23 minutes,1.3K views,3 days ago,Random Walk and Electrical Networks ( Part 1),https://i.ytimg.com/vi/YkRVAyZgDm4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHdlpk7cQ-ydU1L3j9xnaUB3IUqg,Random Walk on Networks 2,15.780 Stochastic Models in Business Analytics
0,5,['PDdOWYAGIUs'], 49 minutes,634 views,Streamed 4 years ago,Mixing Implies Lower Bounds for Space Bounded Learning,https://i.ytimg.com/vi/PDdOWYAGIUs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9LdL079u8aUHZu39vn2C0iCskqA,Lower Bounds on Mixing Times,15.780 Stochastic Models in Business Analytics
0,6,['U93QRMcQU5Y']," 8 minutes, 48 seconds",17M views,1 year ago,Why the Atlantic and Pacific Oceans Don't Mix,https://i.ytimg.com/vi/U93QRMcQU5Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAslUVhwsjhSDZCrEFQvcI1q3UDQ,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
0,11,['_IDgYAGKyuo']," 1 hour, 16 minutes",9K views,8 years ago,18. Countable-state Markov Chains and Processes,https://i.ytimg.com/vi/_IDgYAGKyuo/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgqxvIEHf5XIre0cwLsa8BcMMD9Q,Countable State Space Chain 1,15.780 Stochastic Models in Business Analytics
0,10,['6wUD_gp5WeE'], 49 minutes,100K views,3 years ago,5. Random Walks,https://i.ytimg.com/vi/6wUD_gp5WeE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzMIvfBLkhKCo47Ku8ZeUAcctDyQ,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,7,['ya1braz5n88']," 5 minutes, 52 seconds",46K views,7 years ago,A Random Walker,https://i.ytimg.com/vi/ya1braz5n88/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7ftdMsNBr80V8YEuIcAeBwS6ffA,Random Walk on Networks 1,15.780 Stochastic Models in Business Analytics
0,9,['lL2ah2kNYvo']," 1 minute, 50 seconds",100K views,4 years ago,Parking Fail - Seriously Bad Driver Hitting A Parked Car Multiple Times,https://i.ytimg.com/vi/lL2ah2kNYvo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJojfVUkhFGrkWI1ZbYr1R7XgTgg,Hitting Times,15.780 Stochastic Models in Business Analytics
0,3,['svi1j799i0A']," 1 hour, 1 minute",4.1K views,5 years ago,Markov Chain Mixing Times and Applications I,https://i.ytimg.com/vi/svi1j799i0A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3bUs9F_uA1uAkl59jR_HhZrcPcQ,Introduction to Markov Chain Mixing,15.780 Stochastic Models in Business Analytics
0,5,['NA2RToI4-ro']," 3 minutes, 56 seconds",17K views,8 years ago,How to find Lower Bounds of Optimal Routes - TSP,https://i.ytimg.com/vi/NA2RToI4-ro/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDX3ogn9tJ7zVALNN7HkRQCuADdDg,Lower Bounds on Mixing Times,15.780 Stochastic Models in Business Analytics
0,0,['uvYTGEZQTEs']," 12 minutes, 19 seconds",722K views,11 years ago,Markov Chains - Part 1,https://i.ytimg.com/vi/uvYTGEZQTEs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwK35qiDJLeytWiSKd12tEuPfF4A,Introduction to Finite Markov Chains,15.780 Stochastic Models in Business Analytics
0,6,['rWp5ZpJAIAE']," 12 minutes, 8 seconds",2.3M views,3 years ago,A Brief History of Geologic Time,https://i.ytimg.com/vi/rWp5ZpJAIAE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAryLbnqmbw3psxmnJsE-8iMlUeUw,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
0,11,['ybX_-86Lvog']," 2 minutes, 30 seconds",119K views,9 years ago,How to: Work into chain space (crochet),https://i.ytimg.com/vi/ybX_-86Lvog/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCb3r2MiJuco54K9MUJSQBI511oKw,Countable State Space Chain 1,15.780 Stochastic Models in Business Analytics
0,10,['N_XOTh3SDZ8']," 4 minutes, 26 seconds",5.9K views,2 years ago,DeepWalk Explained,https://i.ytimg.com/vi/N_XOTh3SDZ8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHvPz8X75y_UL960ROpLXI5peKwQ,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,9,['3Mr-OtqkqrU']," 5 minutes, 57 seconds",17K views,9 years ago,"Stopping time, hitting time and other times",https://i.ytimg.com/vi/3Mr-OtqkqrU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUWTA0S7kGB_v5AAbuU9BvFIEPDw,Hitting Times,15.780 Stochastic Models in Business Analytics
0,7,['YkRVAyZgDm4'], 23 minutes,1.3K views,3 days ago,Random Walk and Electrical Networks ( Part 1),https://i.ytimg.com/vi/YkRVAyZgDm4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHdlpk7cQ-ydU1L3j9xnaUB3IUqg,Random Walk on Networks 1,15.780 Stochastic Models in Business Analytics
0,3,['Gs2xtNzogSY'], 26 minutes,26K views,1 year ago,Introduction To Markov Chains | Markov Chains in Python | Edureka,https://i.ytimg.com/vi/Gs2xtNzogSY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRaVgzUSBdx8tz5EgPClwN0xfRQQ,Introduction to Markov Chain Mixing,15.780 Stochastic Models in Business Analytics
0,0,['Uz3JIp6EvIg']," 12 minutes, 50 seconds",102K views,5 years ago,Prob &amp; Stats - Markov Chains (1 of 38) What are Markov Chains: An Introduction,https://i.ytimg.com/vi/Uz3JIp6EvIg/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB27aeVejGG3Izh-r8WP04_24J-Og,Introduction to Finite Markov Chains,15.780 Stochastic Models in Business Analytics
0,5,['H4L35GSdqmw']," 4 minutes, 32 seconds",92K views,3 years ago,Upper &amp; Lower Bounds | Number | Maths | FuseSchool,https://i.ytimg.com/vi/H4L35GSdqmw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDprVQZXLVvNDJpagCtU_tF_yABAg,Lower Bounds on Mixing Times,15.780 Stochastic Models in Business Analytics
0,8,['BBo2kv9RCUc']," 14 minutes, 48 seconds",400 views,5 years ago,Random walks and extreme events on networks by M. S. Santhanam,https://i.ytimg.com/vi/BBo2kv9RCUc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcx7mEs9jLmuvDcWp0to5vvL1Vsw,Random Walk on Networks 2,15.780 Stochastic Models in Business Analytics
0,6,['6GrZ1AMWuhA'], 33 minutes,11K views,8 months ago,"MIX BREAKDOWN: ""Came To Win"" by Graham Cochrane &amp; ill Factor - RecordingRevolution.com",https://i.ytimg.com/vi/6GrZ1AMWuhA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD1MZX-Akyy6z5xa5E_zn_E2SNUOg,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
0,4,['eKa7veMDUzo']," 11 minutes, 32 seconds",42K views,4 years ago,Stationary Process | Strict Stationarity &amp; Weak Stationarity || Time Series,https://i.ytimg.com/vi/eKa7veMDUzo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA01dD8awp-wl5cuElSLNk8iwvgsw,Stationary Times,15.780 Stochastic Models in Business Analytics
0,11,['AfgtQ_cpevw'], 53 minutes,8.2K views,3 years ago,Markov Chains Concepts,https://i.ytimg.com/vi/AfgtQ_cpevw/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCaBBgaH-wAQ49m4WFmrIfOXWFG4g,Countable State Space Chain 1,15.780 Stochastic Models in Business Analytics
0,10,['b8LMlCPRjPE'], 43 minutes,3.9K views,2 years ago,The Long Run Behavior of Random Walks - Omer Tamuz - 1/16/2019,https://i.ytimg.com/vi/b8LMlCPRjPE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCu58tFPv84vJRKksKBW2waXnoU-Q,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,9,['6abY3QghzpY']," 3 minutes, 20 seconds",5.8M views,4 years ago,Speed Hitting: 100 Hits in 1 Second,,Hitting Times,15.780 Stochastic Models in Business Analytics
0,3,['Uz3JIp6EvIg']," 12 minutes, 50 seconds",102K views,5 years ago,Prob &amp; Stats - Markov Chains (1 of 38) What are Markov Chains: An Introduction,https://i.ytimg.com/vi/Uz3JIp6EvIg/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB27aeVejGG3Izh-r8WP04_24J-Og,Introduction to Markov Chain Mixing,15.780 Stochastic Models in Business Analytics
0,0,['i3AkTO9HLXo']," 9 minutes, 24 seconds",82K views,5 months ago,Markov Chains Clearly Explained! Part - 1,https://i.ytimg.com/vi/i3AkTO9HLXo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzZFdV3drtxG0846UwTH2QuT_NxQ,Introduction to Finite Markov Chains,15.780 Stochastic Models in Business Analytics
0,5,['0oDAlMwTrLo'], 23 minutes,101K views,2 years ago,"Asymptotic Bounding 101: Big O, Big Omega, &amp; Theta (Deeply Understanding Asymptotic Analysis)",https://i.ytimg.com/vi/0oDAlMwTrLo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQVReuKuLwZScWuDVJt2kWAG37ug,Lower Bounds on Mixing Times,15.780 Stochastic Models in Business Analytics
0,2,['8V7srmmOu6k']," 9 minutes, 34 seconds",794 views,1 year ago,Markov Chains and Basic Reversibility,https://i.ytimg.com/vi/8V7srmmOu6k/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPl1ejlrOC-dc7f7RiAs70CAgZHA,Markov Chains: Time-reversal,15.780 Stochastic Models in Business Analytics
0,6,['pZF-T20TpOw'], 33 minutes,744 views,Streamed 13 hours ago,Jones Reopening Information Session,https://i.ytimg.com/vi/pZF-T20TpOw/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfxZC5ppHLU3hgDtuEROo6CmmhXA,Summary on Mixing Times,15.780 Stochastic Models in Business Analytics
ness Analytics
0,4,['nM8RnEiP1rY']," 9 minutes, 25 seconds",1.5K views,1 year ago,[Time Series] Weak Stationary | Part 2,https://i.ytimg.com/vi/nM8RnEiP1rY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBX0xTDvC_HjmQbQbBIwDzIji_iOQ,Stationary Times,15.780 Stochastic Models in Business Analytics
0,11,['uvYTGEZQTEs']," 12 minutes, 19 seconds",722K views,11 years ago,Markov Chains - Part 1,https://i.ytimg.com/vi/uvYTGEZQTEs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwK35qiDJLeytWiSKd12tEuPfF4A,Countable State Space Chain 1,15.780 Stochastic Models in Business Analytics
0,10,['jIS5pZ8doH8']," 1 hour, 43 minutes",17K views,6 years ago,Network Analysis. Lecture10. Community detection,https://i.ytimg.com/vi/jIS5pZ8doH8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnH6HgEpyF_abBAflU5jq2ACFghA,Summary on Random Walk on Networks,15.780 Stochastic Models in Business Analytics
0,9,['e2ClS5M1l1Y'], 16 minutes,3.4K views,1 year ago,Lionel Messi Hitting The Post 100 Times,,Hitting Times,15.780 Stochastic Models in Business Analytics
